concise enumeration
foreign foe
like stars
industrial education
likely to
truly grateful
separation from
the protection
come before
one or
more dear
lie on
do to
lift everything
the scene
but promises
the solemnity
internationality was
executive authority
mistaken enthusiast
old ways
comparative strength
wisdom and
were inadequate
of degeneration
from reaching
foreclosure of
overwhelm with
insidious infirmity
been advocated
start downward
probably more
feed all
along which
rigid economy
could say
common interest
is still
lash shall
specific import
inasmuch as
rests wholly
brilliant successes
has dispelled
best reliance
present importance
overestimated in
of impertinence
pass judgment
a tax
beyond individual
freedom itself
warrant for
disregard these
for protection's
who dies
sheet anchor
thing i
vastly more
traces of
day we
loath to
its protecting
written these
declared objects
creating monopolies
utmost emphasis
is preposterous
mortal hands
directing this
a war
seats in
a way
who betray
more satisfactory
heroic dreams
an do
may prescribe
no salvation
they gathered
rating greatly
face hard
recent demonstration
killed trying
makes possible
situation of
and here
your liberty
effectually checked
and uselessly
happiness of
goods and
very stability
as on
only exception
as of
introduced--a minister
against disasters
and stable
possible means
waterways and
has excited
look frankly
certain conditions
been strengthened
these patriots
without conformity
imperfect man
returned from
struggle were
extenuating circumstances
permanent improvement
establishment of
any events
national scale
just appreciation
us do
greater freedom
future leaders
effectively as
suffering humanity
with openness
animates the
ample employment
the imposition
the suppression
really exists
disaffection in
the best
these four
power established
that the
grand story
particulars between
for mastery
discharged from
day swear
necessarily better
earnestly dedicate
covenant was
and consumption
whereof have
term excepted
cannot stand
about a
commercial treaties
was postponed
our enemy
me by
spend wisely
already secured
awaits its
distinguished place
developing menace
but sustained
application was
inefficiently organized
its censure
shout for
fraternal union--is
religious liberty
distance from
handled by
designed by
have disappeared
are inexhaustible
methods of
things still
conquered because
and uprooting
facilitate the
domination of
continents stuck
whole service
be amalgamated
i stand
enable every
and excise
but still
foreign productions
stands ready
them held
less deserving
never left
shall at
hearts and
due regard
name may
supplement must
shall an
lately employed
self-devotion of
any foreign
inevitable decline
terrible war
these enemies
are many
the savory
instrument containing
give prompt
on the
elected under
these subjects
questions meet
a form
rights respected
lessen with
provided for
and credits
best hope
look after
rates with
encouragement of
wrongs can
so generally
look to
as regards
my office
delivered from
agitation consequent
the several
antiquity than
and prosperous
the touchstone
and pure
revenue applied
spread over
its attendant
marched far
whose blessings
utter my
goad of
mass of
that redemption
deemed necessary
awaited our
most governments
would the
than divided
second call
seek public
for independence
helpfulness and
also members
delegated to
demanding their
them invoke
neighbor who
be abandoned
sources high
revolution threatens
awaiting massacre
our boundaries
own framing
lawyer named
journey must
fashioned by
memory of
no president
to appreciate
transportation between
agency of
as to
with thousand-fold
reconstruction following
emerging from
i challenge
inviolability of
preparation for
ample warrant
by defending
remain freedom's
urged by
our response
very lowest
other trading
industrial processes
sufficient cause
our partners
considered deeply
attachment between
had no
patriotism have
additions to
established by
fight through
own well-being
obtrusive as
the wisest
signifying renewal
thought that
seamen have
any distinct
patriotism constructed
calculated than
has blessed
reference to
good words
without distinction
endure for
resources without
be overshadowed
have gone
less profound
constituted like
conclusive proofs
ages of
if on
people must
have caused
higher estimation
pattern of
wide difference
can enjoy
forty years
a regard
through mutual
actions should
against invasion
constitutional liberty
currency available
some length
feeling against
by engaging
party platform
and occupation
our hope
home interests
have dreamed
could have
to right
us i
us a
similarly protective
stress of
weapons from
can anticipate
we meet
distinguished predecessor
or hated
what i
methods and
avoid misconstruction
national innocence
wholly new
families too
accept nothing
only legitimate
added to
leads back
be lost
most pleasing
been appointed
whatever action
and household
us will
contrary has
census has
new insight
civilized state
being impossible
heritage again
in contradistinction
transmit their
the just
avoid waste
that he
past four
true sovereign
legal nor
late election
stand ready
first half
builders boasted
but only
wherever their
grandest capitals
and but
its deliverance
statesmen were
power prescribed
not pity
to accompany
treaty right
greatly in
final gift
shepherd in
any degree
very short
has ordained
i can
have traded
said that
defaulting officer
are happy
nations of
threaten killing
been crowded
democratic methods
adduced if
constitutional law
faith enforced
revolutionary right
faith teaches
